Person.id:START_ID(Person)|Organisation.id:END_ID(Organisation)|classYear
933|2643|2011
1129|2636|2003
4194|1591|2010
8333|3009|1998
8853|1846|2004
10027|3012|2003
2199023261211|1988|2001
2199023262818|2987|2003
2199023262994|1959|2006
2199023266220|4950|2000
4398046512167|2384|2005
4398046516514|2209|2003
4398046521820|2206|2004
6597069767117|5160|2007
6597069770517|6477|2005
6597069771578|1644|2004
6597069773260|5265|2003
6597069773744|5528|2003
6597069774931|5521|2004
6597069776841|2208|2004
6597069777454|6805|2002
8796093025056|2449|2007
8796093028089|1806|1999
8796093028412|4991|2001
8796093030318|6798|2006
8796093031179|5865|2001
10995116278700|6801|2008
10995116279792|5044|2005
10995116280047|5522|1999
10995116280480|7868|2005
10995116285020|7947|2008
10995116285325|2448|2010
13194139536109|6345|2008
13194139539553|2212|2000
13194139541814|6203|2003
13194139544176|6350|2003
15393162791382|2205|2003
15393162793009|5236|1999
15393162795040|2209|2005
15393162796879|6165|2004
15393162797860|2208|2009
17592186045684|2209|2002
17592186048163|5527|2007
17592186048827|4747|2003
17592186051113|2213|2007
17592186053080|6163|2007
17592186054681|3013|2008
19791209306628|5807|2001
19791209307908|3007|2003
21990232556027|1596|2008
21990232556585|5268|2000
21990232558653|2213|2002
21990232560726|5044|2002
21990232560950|5271|2002
21990232561712|4518|2010
21990232563931|5042|2009
21990232565924|5979|2004
24189255814220|2622|2006
24189255815734|5035|2006
24189255816395|3006|2002
24189255818167|5264|2010
24189255818453|5042|2004
24189255819563|2210|2003
24189255821590|4992|2000
26388279066636|2435|2008
26388279074007|1601|2007
26388279074936|5234|2003
28587302322727|6801|2002
28587302327472|1855|2005
28587302327895|3012|2003
28587302330379|2439|2003
28587302330793|5157|2004
28587302331372|5042|2003
30786325578904|4669|2010
30786325580104|4999|2001
30786325583274|5268|2007
30786325585602|6494|2001
30786325586267|5803|2004
30786325586438|6172|2006
30786325586633|6301|2001
32985348840129|7897|2004
32985348842922|1576|2007
32985348843775|4750|2004
2035|2209|2003
2099|5529|2006
7375|4956|1998
2199023258430|6490|2003
2199023258732|2831|2008
2199023260149|5141|2004
2199023262021|7893|2000
2199023265107|4675|2004
4398046511870|2359|2008
4398046513209|4745|2006
4398046515291|1981|2002
4398046517793|6157|2002
4398046518021|1803|2005
4398046518355|2214|2009
6597069770808|6173|2010
6597069772777|2209|2011
6597069773276|4750|2003
6597069774386|4515|2005
6597069775990|3010|2005
6597069775996|5076|2005
6597069776311|4991|2009
8796093023060|4942|2011
