Person.id:START_ID(Person)|Organisation.id:END_ID(Organisation)|workFrom
933|1226|2013
933|1227|2013
933|1230|2013
1129|1189|2004
1129|395|2004
1129|397|2004
4194|1557|2011
4194|1558|2011
4194|1560|2011
4194|1561|2012
8698|549|2008
8698|553|2002
8853|133|2004
10027|546|2005
10027|550|2004
10027|538|2005
2199023256684|553|2008
2199023261211|224|2002
2199023261211|231|2001
2199023261211|217|2002
2199023261211|223|2002
2199023262818|533|2005
2199023262818|535|2003
2199023262994|993|2007
2199023262994|325|2007
2199023262994|998|2007
2199023266220|727|2000
2199023266220|716|2000
2199023266220|717|2001
2199023266220|718|2002
4398046512167|261|2007
4398046512167|281|2005
4398046512167|283|2006
4398046512167|284|2007
4398046515995|300|2008
4398046515995|303|2010
4398046521820|928|2006
4398046521820|931|2005
4398046521820|909|2006
6597069767117|819|2007
6597069767117|820|2007
6597069767117|822|2008
6597069767117|823|2007
6597069770517|1297|2006
6597069770517|1302|2007
6597069773260|887|2003
6597069773744|965|2004
6597069776841|934|2004
6597069776841|911|2005
6597069777454|1457|2004
6597069777454|1486|2003
8796093025056|307|2008
8796093025056|301|2009
8796093028089|108|2000
8796093028089|109|2000
8796093028412|758|2003
8796093030318|1473|2008
8796093030318|1446|2008
8796093030318|1512|2007
8796093030318|1498|2007
8796093030318|1452|2008
8796093031179|992|2002
8796093031179|995|2003
10995116280047|962|2000
10995116280047|966|2001
10995116280047|957|2001
10995116285020|1567|2010
10995116285325|307|2011
10995116285325|299|2011
10995116285325|301|2011
13194139536109|1226|2009
13194139536109|1227|2008
13194139536109|1229|2008
13194139539553|928|2001
13194139539553|932|2001
13194139539553|938|2000
13194139539553|911|2001
13194139541814|1174|2004
13194139541814|1177|2004
13194139541814|1180|2004
13194139544176|1226|2004
13194139544176|1230|2003
15393162793009|864|2000
15393162795040|916|2007
15393162795040|924|2006
15393162795040|908|2005
15393162795040|925|2007
15393162795040|911|2006
15393162796879|1171|2006
15393162796879|1158|2006
15393162796879|1145|2006
15393162797860|931|2011
15393162797860|522|2011
15393162797860|922|2011
15393162797860|927|2010
17592186045684|909|2002
17592186048163|963|2007
17592186048827|672|2005
17592186048827|680|2004
17592186048827|668|2004
17592186048849|908|2007
17592186049118|256|2006
17592186049118|258|2012
17592186049118|260|2007
17592186050570|984|2007
17592186051113|928|2009
17592186051113|931|2009
17592186051113|917|2009
17592186051113|924|2008
17592186053080|1136|2007
17592186053080|1137|2008
17592186053080|1138|2008
17592186053080|1139|2008
17592186054681|552|2009
19791209301794|720|2011
19791209301794|724|2005
19791209301794|725|2010
19791209301794|718|2009
19791209305935|914|2009
19791209305935|930|1998
19791209305935|919|2010
19791209305935|909|2004
19791209306628|978|2003
19791209307908|553|2003
19791209307908|543|2003
21990232556027|10|2008
21990232556027|11|2008
21990232556585|895|2000
21990232558653|932|2002
21990232558653|937|2002
21990232559044|1560|2008
21990232560132|280|2012
21990232560132|264|2011
21990232560132|286|2005
21990232560726|785|2003
21990232560726|803|2004
21990232560726|790|2003
21990232560726|778|2004
21990232560950|890|2004
21990232560950|891|2004
21990232560950|893|2004
21990232561712|558|2011
21990232561712|574|2011
21990232563931|787|2011
21990232563931|794|2010
21990232563931|781|2010
21990232565814|888|2010
21990232565814|894|2010
24189255812290|800|2009
24189255812290|784|2005
24189255812290|801|2008
24189255812290|807|2009
24189255813101|923|2012
24189255813101|925|2001
24189255813101|926|2008
24189255814220|370|2007
24189255814220|392|2006
24189255814220|378|2007
24189255814220|380|2006
24189255815734|772|2008
24189255815734|774|2006
24189255818167|888|2010
24189255818167|890|2012
24189255818167|895|2012
24189255818453|803|2005
24189255819563|918|2004
24189255819563|919|2004
24189255819563|927|2003
24189255821590|762|2001
24189255821590|764|2001
24189255821590|766|2000
26388279066636|296|2009
26388279066636|298|2010
26388279074936|864|2004
26388279074936|865|2005
28587302322727|1461|2003
28587302322727|1497|2003
28587302327895|546|2004
28587302327895|540|2005
28587302330379|296|2003
30786325578904|657|2012
30786325580104|769|2003
30786325580104|522|2002
30786325580104|766|2002
30786325580104|767|2002
30786325583274|896|2007
30786325583274|890|2008
30786325583274|893|2007
30786325584323|914|2004
30786325584323|931|2011
30786325584323|923|2010
30786325584323|910|2009
30786325585602|1313|2001
30786325585602|1314|2002
30786325585602|1319|2002
30786325586267|976|2004
30786325586267|977|2005
30786325586267|972|2005
30786325586267|975|2004
30786325586438|1169|2007
30786325586438|1143|2006
30786325586438|1160|2008
30786325586438|1161|2007
30786325586438|1147|2007
30786325586633|1216|2002
30786325586633|1195|2001
32985348840129|1559|2005
32985348843775|672|2005
32985348843775|667|2006
32985348843775|671|2004
32985348843944|161|2001
32985348843944|149|2006
32985348843944|185|2009
32985348843944|154|2007
32985348843944|603|2008
2035|915|2005
2035|932|2005
2035|923|2004
2035|911|2005
2099|965|2007
2099|949|2006
2099|966|2006
2099|951|2007
2099|958|2007
3067|585|2003
3067|570|2010
3601|551|2007
3601|541|2012
3601|893|2007
3601|542|2001
7375|725|2000
7375|716|1999
2199023256181|761|2012
2199023256181|553|2008
2199023258430|1308|2004
2199023258732|449|2010
2199023258732|467|2009
2199023258732|484|2008
2199023258732|456|2008
2199023258732|457|2008
2199023264241|539|2001
4398046511870|936|2009
4398046511870|923|2009
4398046511870|911|2010
4398046513209|678|2006
4398046515291|208|2003
4398046515291|209|2002
4398046517793|1131|2004
4398046517793|1132|2003
4398046518021|106|2006
4398046518021|108|2006
4398046518355|917|2011
4398046518355|921|2010
4398046518355|906|2009
4398046518355|938|2010
4398046518355|907|2010
6597069766983|838|2005
6597069770808|1153|2010
6597069770808|1156|2011
6597069770808|1160|2010
6597069770808|1162|2011
6597069770808|1115|2010
6597069772777|935|2012
6597069772777|924|2013
6597069772777|927|2013
6597069773276|673|2004
6597069773276|676|2004
6597069773276|668|2003
6597069774386|576|2006
6597069774386|565|2006
6597069774386|574|2006
6597069775011|994|2012
6597069775011|989|2012
6597069775498|1321|2012
6597069775498|1324|2003
6597069775990|546|2007
6597069775990|547|2005
6597069776311|758|2011
6597069776311|346|2010
8796093024398|296|2011
8796093024398|297|2012
8796093024398|298|2011
8796093024830|549|2001
8796093027255|245|2010
8796093027255|214|2008
8796093027255|217|2008
8796093027255|236|2008
8796093028953|1092|2006
8796093028953|1063|2005
10995116282255|106|2004
10995116282255|108|2005
10995116282255|109|2005
10995116288599|864|2006
10995116288599|865|2006
13194139536519|545|2013
13194139536519|546|2012
13194139536519|552|2013
13194139536519|553|2013
13194139537106|1239|2001
13194139537106|1255|2001
13194139537106|1272|2001
13194139538042|549|2001
13194139538042|550|2001
13194139538042|538|2002
13194139538042|539|2002
13194139538042|542|2001
13194139538958|608|2011
13194139538958|611|2010
13194139540756|546|2005
13194139540756|549|2006
13194139540756|554|2006
13194139540756|543|2006
13194139541819|546|2002
13194139541819|547|2003
13194139541819|552|2003
13194139541819|554|2002
13194139541819|540|2003
13194139542197|1026|2004
13194139542197|1108|2003
13194139542197|1028|2002
13194139542197|1094|2004
13194139542197|1070|2003
13194139542377|776|2008
13194139542377|553|2008
13194139542377|587|2009
13194139542377|542|2009
13194139542377|543|2009
13194139543252|106|2008
13194139543486|278|2010
13194139543486|279|2008
13194139543486|280|2008
13194139543680|673|2005
13194139543680|677|2005
13194139543680|681|2004
13194139543680|668|2004
15393162792434|951|2009
15393162792434|967|2008
17592186047759|933|2010
17592186048261|1380|2008
17592186048261|1368|2009
17592186048261|1370|2007
17592186048261|1387|2008
17592186048592|960|2011
17592186048592|965|2008
17592186048592|966|2007
17592186048592|950|2009
17592186048592|958|2004
17592186050532|81|2011
17592186050532|83|2011
17592186050532|89|2010
17592186052116|318|2006
19791209300372|452|2007
19791209300372|484|2007
19791209300372|488|2008
19791209306659|546|2008
19791209306659|548|2007
19791209306659|538|2007
21990232558019|800|2012
21990232558019|802|2007
21990232558019|804|2011
21990232558019|794|2007
21990232558019|780|2008
21990232560677|553|2004
21990232560677|538|2004
21990232560744|603|2004
21990232560744|605|2005
21990232560744|589|2005
21990232562328|710|2002
21990232562328|1195|1999
21990232562328|1197|2004
21990232562328|1215|2006
21990232562378|928|2009
21990232562378|938|2009
21990232562378|907|2009
21990232562378|923|2008
21990232562436|1117|2001
21990232562878|545|2002
21990232562878|546|2003
21990232562878|548|2002
21990232562878|554|2002
21990232562878|541|2003
21990232564330|1379|2009
21990232564330|1381|2009
21990232564330|1355|2008
21990232564330|1375|2007
24189255818373|1002|2008
24189255818939|540|2011
24189255818939|542|2010
24189255821783|1174|2012
24189255821783|1179|2006
26388279067350|915|2009
26388279067350|916|2009
26388279067350|935|2009
26388279067350|936|2009
26388279067350|908|2009
26388279068275|209|2011
26388279068856|997|2007
26388279070639|550|2008
26388279070639|540|2008
26388279070639|543|2007
26388279072430|1555|2011
26388279072430|1556|2013
26388279072430|1541|2013
26388279072430|1551|2013
26388279073058|929|2007
